MySQL			0.98	1.00	0.95
Apache  		1.13	1.12	1.05
memcached		1.15	1.16	1.08
LevelDB			1.34	1.30	1.30
AMean		        1.15	1.14	1.09
GMean		        1.14	1.14	1.09
""  			0.00	0.00	0
blackscholes		0.63	0.61	0.69
dedup			1.66	1.55	1.00
canneal			1.14	1.12	1.04
streamcluster		2.30	2.30	1.07
x264			1.74	1.84	1.41
fluidanimate		3.10	3.10	1.70
ferret			3.06	2.96	1.76
vips			5.25	3.88	2.79
swaptions		5.13	5.01	4.06
AMean	        	2.67	2.49	1.72
GMean	        	2.20	2.10	1.49
